Category: All categories

Week,Debt: (United States)
2008-01-13,76
2008-01-20,73
2008-01-27,72
2008-02-03,75
2008-02-10,68
2008-02-17,70
2008-02-24,77
2008-03-02,71
2008-03-09,74
2008-03-16,74
2008-03-23,78
2008-03-30,73
2008-04-06,76
2008-04-13,73
2008-04-20,73
2008-04-27,68
2008-05-04,68
2008-05-11,66
2008-05-18,65
2008-05-25,65
2008-06-01,66
2008-06-08,66
2008-06-15,69
2008-06-22,65
2008-06-29,63
2008-07-06,81
2008-07-13,69
2008-07-20,69
2008-07-27,74
2008-08-03,63
2008-08-10,69
2008-08-17,72
2008-08-24,72
2008-08-31,72
2008-09-07,74
2008-09-14,91
2008-09-21,100
2008-09-28,92
2008-10-05,100
2008-10-12,94
2008-10-19,81
2008-10-26,81
2008-11-02,83
2008-11-09,89
2008-11-16,80
2008-11-23,79
2008-11-30,83
2008-12-07,81
2008-12-14,75
2008-12-21,60
2008-12-28,68
2009-01-04,82
2009-01-11,78
2009-01-18,79
2009-01-25,80
2009-02-01,84
2009-02-08,87
2009-02-15,91
2009-02-22,90
2009-03-01,88
2009-03-08,83
2009-03-15,81
2009-03-22,84
2009-03-29,84
2009-04-05,73
2009-04-12,81
2009-04-19,77
2009-04-26,79
2009-05-03,75
2009-05-10,77
2009-05-17,75
2009-05-24,70
2009-05-31,78
2009-06-07,75
2009-06-14,68
2009-06-21,82
2009-06-28,80
2009-07-05,78
2009-07-12,80
2009-07-19,75
2009-07-26,72
2009-08-02,74
2009-08-09,75
2009-08-16,75
2009-08-23,78
2009-08-30,72
2009-09-06,67
2009-09-13,76
2009-09-20,72
2009-09-27,72
2009-10-04,69
2009-10-11,78
2009-10-18,77
2009-10-25,72
2009-11-01,70
2009-11-08,76
2009-11-15,79
2009-11-22,71
2009-11-29,81
2009-12-06,74
2009-12-13,73
2009-12-20,59
2009-12-27,61
2010-01-03,73
2010-01-10,76
2010-01-17,76
2010-01-24,89
2010-01-31,92
2010-02-07,85
2010-02-14,92
2010-02-21,87
2010-02-28,87
2010-03-07,80
2010-03-14,78
2010-03-21,88
2010-03-28,78
2010-04-04,80
2010-04-11,82
2010-04-18,71
2010-04-25,88
2010-05-02,83
2010-05-09,81
2010-05-16,73
2010-05-23,71
2010-05-30,73
2010-06-06,71
2010-06-13,62
2010-06-20,67
2010-06-27,71
2010-07-04,66
2010-07-11,66
2010-07-18,65
2010-07-25,65
2010-08-01,63
2010-08-08,63
2010-08-15,60
2010-08-22,61
2010-08-29,57
2010-09-05,60
2010-09-12,65
2010-09-19,65
2010-09-26,67
2010-10-03,68
2010-10-10,65
2010-10-17,69
2010-10-24,66
2010-10-31,72
2010-11-07,72
2010-11-14,73
2010-11-21,55
2010-11-28,73
2010-12-05,63
2010-12-12,57
2010-12-19,46
2010-12-26,45
2011-01-02,72
2011-01-09,68
2011-01-16,70
2011-01-23,75
2011-01-30,70
2011-02-06,71
2011-02-13,77
2011-02-20,67
